0.00	0.01	0.06	0.13	0.23	0.36	0.52	0.70	0.92	1.16	1.43	1.73	2.06	2.42	2.81	3.22	3.67	4.14	4.64	5.17	5.73
0.01	0.04	0.10	0.18	0.30	0.45	0.62	0.83	1.06	1.32	1.61	1.92	2.27	2.65	3.05	3.48	3.94	4.43	4.95	5.50	6.07
0.02	0.07	0.15	0.25	0.38	0.55	0.74	0.96	1.21	1.49	1.79	2.13	2.49	2.88	3.30	3.75	4.23	4.74	5.27	5.84	6.43
0.05	0.11	0.20	0.33	0.48	0.66	0.87	1.10	1.37	1.66	1.99	2.34	2.72	3.13	3.56	4.03	4.53	5.05	5.60	6.18	6.79
0.08	0.16	0.27	0.41	0.58	0.78	1.00	1.26	1.54	1.85	2.19	2.56	2.96	3.38	3.84	4.32	4.83	5.37	5.94	6.54	7.17
0.13	0.22	0.35	0.51	0.69	0.91	1.15	1.42	1.72	2.05	2.40	2.79	3.20	3.65	4.12	4.62	5.15	5.70	6.29	6.91	7.55
0.18	0.30	0.44	0.61	0.82	1.05	1.31	1.59	1.91	2.25	2.63	3.03	3.46	3.92	4.41	4.93	5.47	6.05	6.65	7.28	7.94
0.25	0.38	0.54	0.73	0.95	1.20	1.47	1.78	2.11	2.47	2.86	3.28	3.73	4.21	4.71	5.25	5.81	6.40	7.02	7.67	8.35
0.32	0.47	0.65	0.86	1.09	1.36	1.65	1.97	2.32	2.70	3.11	3.54	4.01	4.50	5.02	5.57	6.15	6.76	7.40	8.07	8.76
0.41	0.57	0.77	0.99	1.24	1.52	1.83	2.17	2.54	2.94	3.36	3.81	4.30	4.81	5.35	5.91	6.51	7.14	7.79	8.47	9.18
0.50	0.68	0.90	1.14	1.41	1.70	2.03	2.39	2.77	3.18	3.63	4.10	4.59	5.12	5.68	6.26	6.88	7.52	8.19	8.89	9.62
0.61	0.81	1.03	1.29	1.58	1.89	2.24	2.61	3.01	3.44	3.90	4.39	4.90	5.45	6.02	6.62	7.25	7.91	8.60	9.31	10.06
0.72	0.94	1.18	1.46	1.76	2.09	2.45	2.84	3.26	3.71	4.18	4.69	5.22	5.78	6.37	6.99	7.64	8.31	9.02	9.75	10.51
0.85	1.08	1.34	1.63	1.95	2.30	2.68	3.09	3.52	3.99	4.48	5.00	5.55	6.13	6.73	7.37	8.03	8.73	9.45	10.20	10.98
0.98	1.23	1.51	1.82	2.16	2.52	2.92	3.34	3.79	4.27	4.78	5.32	5.89	6.48	7.11	7.76	8.44	9.15	9.89	10.65	11.45
1.13	1.39	1.69	2.02	2.37	2.75	3.16	3.60	4.07	4.57	5.10	5.65	6.24	6.85	7.49	8.16	8.86	9.58	10.34	11.12	11.93
